0,109,0,0,94,0,0,0,0,0,0,0,0,0,0,0
109,0,51,0,0,47,0,0,0,0,0,0,0,0,0,0
0,51,0,184,0,0,91,0,0,0,0,0,0,0,0,0
0,0,184,0,0,0,0,67,0,0,0,0,0,0,0,0
94,0,0,0,0,164,0,0,62,0,0,0,0,0,0,0
0,47,0,0,164,0,246,0,0,150,0,0,0,0,0,0
0,0,91,0,0,246,0,79,0,0,17,0,0,0,0,0
0,0,0,67,0,0,79,0,0,0,0,183,0,0,0,0
0,0,0,0,62,0,0,0,0,64,0,0,86,0,0,0
0,0,0,0,0,150,0,0,64,0,80,0,0,107,0,0
0,0,0,0,0,0,17,0,0,80,0,33,0,0,30,0
0,0,0,0,0,0,0,183,0,0,33,0,0,0,0,193
0,0,0,0,0,0,0,0,86,0,0,0,0,161,0,0
0,0,0,0,0,0,0,0,0,107,0,0,161,0,253,0
0,0,0,0,0,0,0,0,0,0,30,0,0,253,0,16
0,0,0,0,0,0,0,0,0,0,0,193,0,0,16,0
