0,256,0,0,207,0,0,0,0,0,0,0,0,0,0,0
256,0,9,0,0,206,0,0,0,0,0,0,0,0,0,0
0,9,0,195,0,0,130,0,0,0,0,0,0,0,0,0
0,0,195,0,0,0,0,164,0,0,0,0,0,0,0,0
207,0,0,0,0,254,0,0,209,0,0,0,0,0,0,0
0,206,0,0,254,0,90,0,0,144,0,0,0,0,0,0
0,0,130,0,0,90,0,159,0,0,255,0,0,0,0,0
0,0,0,164,0,0,159,0,0,0,0,29,0,0,0,0
0,0,0,0,209,0,0,0,0,163,0,0,68,0,0,0
0,0,0,0,0,144,0,0,163,0,246,0,0,37,0,0
0,0,0,0,0,0,255,0,0,246,0,187,0,0,104,0
0,0,0,0,0,0,0,29,0,0,187,0,0,0,0,82
0,0,0,0,0,0,0,0,68,0,0,0,0,88,0,0
0,0,0,0,0,0,0,0,0,37,0,0,88,0,106,0
0,0,0,0,0,0,0,0,0,0,104,0,0,106,0,122
0,0,0,0,0,0,0,0,0,0,0,82,0,0,122,0
