0,119,0,0,13,0,0,0,0,0,0,0,0,0,0,0
119,0,43,0,0,154,0,0,0,0,0,0,0,0,0,0
0,43,0,97,0,0,85,0,0,0,0,0,0,0,0,0
0,0,97,0,0,0,0,45,0,0,0,0,0,0,0,0
13,0,0,0,0,6,0,0,69,0,0,0,0,0,0,0
0,154,0,0,6,0,55,0,0,227,0,0,0,0,0,0
0,0,85,0,0,55,0,27,0,0,251,0,0,0,0,0
0,0,0,45,0,0,27,0,0,0,0,254,0,0,0,0
0,0,0,0,69,0,0,0,0,249,0,0,38,0,0,0
0,0,0,0,0,227,0,0,249,0,79,0,0,75,0,0
0,0,0,0,0,0,251,0,0,79,0,81,0,0,76,0
0,0,0,0,0,0,0,254,0,0,81,0,0,0,0,96
0,0,0,0,0,0,0,0,38,0,0,0,0,177,0,0
0,0,0,0,0,0,0,0,0,75,0,0,177,0,149,0
0,0,0,0,0,0,0,0,0,0,76,0,0,149,0,201
0,0,0,0,0,0,0,0,0,0,0,96,0,0,201,0
